category_id,comment_count,comments_disabled,days_since_publication,has_description,is_successful,is_sucessfull,likes_ratio,progress,publish_time,ratings_disabled,tags_quantity,title_size,video_error_or_removed
1,1189,False,11,True,False,,0.9821851559415713,32019,2018-04-16,False,37,47,False
4,921,False,7,True,True,,0.8405270331667424,175666,2017-11-22,False,34,16,False
4,1538,False,6,True,False,,0.9691375422773394,15695,2018-01-16,False,18,54,False
4,2407,False,14,True,False,,0.9858726099135307,5422,2018-04-06,False,35,29,False
2,15366,False,10,True,True,,0.9450085669750236,606492,2017-12-18,False,7,44,False
4,411,False,2,True,False,,0.9792871804441127,45422,2017-12-19,False,13,46,False
1,79,False,4,True,False,,0.990748528174937,6529,2018-02-01,False,4,36,False
2,462,False,1,True,False,,0.985649630202009,319104,2018-03-03,False,38,66,False
2,7038,False,12,True,False,,0.9304216205659042,86451,2018-02-26,False,16,42,False
2,701,False,1,True,False,,0.9838509316770186,628234,2018-05-22,False,37,59,False
2,1039,False,3,True,False,,0.9212862970962323,204245,2017-12-09,False,30,57,False
4,140,False,7,True,False,,0.9262536873156342,41027,2018-01-25,False,19,79,False
3,4502,False,7,True,False,,0.9769045156842469,97987,2018-01-05,False,44,43,False
2,169,False,5,True,False,,0.9211590296495957,117299,2018-02-06,False,10,40,False
2,120,False,7,True,False,,0.5310344827586206,7324,2017-12-05,False,20,78,False
2,990,False,5,True,False,,0.9730505174710523,12074,2018-04-13,False,36,28,False
4,1018,False,4,True,False,,0.9478840819217376,110809,2017-11-11,False,31,57,False
0,93,False,5,True,False,,0.8272552783109405,17974,2018-02-21,False,19,67,False
1,4279,False,11,True,False,,0.9788994778729659,112629,2017-12-22,False,45,38,False
2,710,False,9,True,False,,0.895789101203114,47798,2017-12-26,False,2,28,False
2,3235,False,7,True,False,,0.9682264342528346,23261,2017-11-23,False,26,50,False
2,18752,False,14,True,True,,0.9885659763088707,154535,2018-02-21,False,29,36,False
3,1169,False,15,True,False,,0.8453835369517324,28689,2018-03-15,False,9,77,False
1,1101,False,6,True,False,,0.9814129520605551,108506,2017-11-08,False,4,22,False
2,5212,False,3,True,True,,0.9858249922961915,934379,2018-06-11,False,17,29,False
4,516,False,5,True,False,,0.9717532467532467,2376,2017-11-15,False,8,55,False
2,11,False,7,True,False,,0.9886363636363636,2125,2018-01-16,False,23,57,False
4,115,False,5,True,False,,0.9397683397683397,642,2018-02-01,False,30,71,False
2,352,False,8,True,False,,0.6609155739590522,15428,2018-02-14,False,10,45,False
2,1617,False,1,True,False,,0.9930148663863422,690533,2017-12-12,False,26,47,False
2,9692,False,7,True,True,,0.9112134211317249,349593,2018-03-27,False,38,38,False
2,361,False,8,True,False,,0.6067285382830626,13078,2017-11-29,False,2,66,False
4,1135,False,3,True,False,,0.9640799728905456,90431,2018-04-14,False,21,90,False
3,1337,False,7,False,False,,0.8338490099009901,32705,2017-12-14,False,5,51,False
4,190,False,1,True,False,,0.797724399494311,159410,2018-02-21,False,17,70,False
0,596,False,17,True,False,,0.9639844996580806,17760,2018-04-27,False,1,52,False
2,11284,False,7,True,False,,0.9885455355816372,95387,2018-01-24,False,17,36,False
2,1064,False,14,True,False,,0.9665536194597123,22151,2018-03-09,False,22,28,False
2,4276,False,15,True,True,,0.9327446600586347,39159,2018-03-12,False,21,17,False
2,1584,False,6,True,False,,0.974912239644278,15877,2018-01-29,False,4,23,False
3,628,False,6,True,False,,0.7757743874248728,15505,2017-12-17,False,10,60,False
0,0,True,15,True,False,,0.49438929650410013,4800,2018-05-06,False,1,59,False
2,322,False,5,True,True,,0.9221522610188895,558440,2018-01-04,False,1,63,False
2,295,False,4,True,False,,0.9375,2790,2018-01-09,False,16,35,False
1,3069,False,3,True,False,,0.6559366754617414,285120,2017-12-01,False,6,39,False
4,2146,False,14,True,False,,0.9845067707580357,18876,2018-03-11,False,17,38,False
2,787,False,7,True,False,,0.973718791064389,45794,2017-11-30,False,19,37,False
1,3718,False,10,True,False,,0.8891473383398684,7189,2018-03-20,False,40,44,False
4,0,True,6,True,False,,0.7307692307692307,745,2018-01-15,False,4,25,False
2,1073,False,4,True,False,,0.929002667665091,128568,2017-11-16,False,22,55,False
2,899,False,7,True,False,,0.9942892834835371,8544,2017-11-22,False,14,43,False
4,2193,False,5,True,False,,0.971652879498393,102220,2018-01-08,False,2,12,False
2,12707,False,5,True,True,,0.9864350441952017,120762,2017-11-11,False,26,85,False
4,2639,False,7,True,False,,0.9919948767211015,31198,2018-01-16,False,15,29,False
2,1196,False,8,True,False,,0.9686599738105631,22367,2018-02-05,False,14,52,False
4,162,False,8,True,False,,0.9466278505579816,12098,2018-02-15,False,30,80,False
4,4905,False,4,True,False,,0.9754609732427562,162623,2018-01-13,False,58,23,False
4,1161,False,8,True,False,,0.9817359392335923,24115,2017-11-21,False,33,68,False
2,4881,False,4,True,False,,0.9872244395538812,430547,2018-06-05,False,28,62,False
0,18665,False,19,True,True,,0.9751540272416226,276673,2018-05-25,False,25,34,False
2,48,False,1,True,False,,0.9659574468085106,35467,2017-11-28,False,33,50,False
3,3828,False,10,True,False,,0.7846425419240953,44539,2017-12-18,False,32,85,False
1,644,False,4,True,False,,0.9875423155044009,28599,2018-02-16,False,20,97,False
2,22123,False,7,True,True,,0.9626649757916529,522983,2018-05-08,False,32,58,False
4,636,False,7,True,True,,0.9483075791022811,1023267,2018-02-01,False,24,70,False
3,319,False,6,False,False,,0.3764705882352941,3090,2017-12-05,False,6,68,False
4,1000,False,8,True,False,,0.9589239965841161,69655,2017-12-30,False,6,41,False
2,807,False,7,True,False,,0.9119537275064268,63631,2017-12-14,False,8,57,False
2,139,False,7,True,False,,0.9649717514124294,115576,2017-12-12,False,3,67,False
1,47646,False,4,True,True,,0.970189596876544,747930,2018-06-10,False,29,86,False
4,1656,False,4,True,False,,0.9599410387583456,291075,2018-02-05,False,15,47,False
1,0,True,1,True,True,,0.9384523783271219,3014847,2018-01-29,False,1,58,False
2,631,False,6,True,False,,0.9842288523247081,83012,2017-11-22,False,26,89,False
3,4,False,3,True,False,,0.8536585365853658,460,2017-11-27,False,32,73,False
3,0,True,6,True,False,,0.8842105263157894,122,2017-12-02,False,1,46,False
3,1038,False,7,True,False,,0.961071789686552,41227,2018-02-15,False,30,40,False
2,8165,False,7,True,False,,0.9425110006286074,145093,2018-01-17,False,16,49,False
4,8,False,1771,True,False,,1.0,79,2013-03-10,False,16,33,False
2,4870,False,23,True,False,,0.9584042267395003,25752,2018-05-09,False,31,46,False
2,2915,False,8,True,False,,0.9728037442287015,155559,2018-02-05,False,8,20,False
2,1815,False,7,True,False,,0.9540513336688475,23946,2018-01-17,False,13,36,False
2,1829,False,7,True,False,,0.9801338574312122,88026,2017-11-15,False,3,51,False
4,3,False,5,True,False,,0.95,262,2017-12-05,False,24,54,False
2,51506,False,24,True,True,,0.9860984721490493,105382,2018-05-06,False,1,28,False
3,1063,False,6,True,False,,0.9652058652969928,24332,2017-12-05,False,35,35,False
2,10,False,5,True,False,,0.9809885931558935,10228,2017-11-09,False,3,28,False
2,6964,False,8,True,False,,0.9802834966782872,78249,2018-05-15,False,13,49,False
4,4254,False,3,True,False,,0.9493971140541609,344757,2018-02-26,False,36,83,False
2,595,False,210,True,False,,0.932649134060295,7889,2017-04-21,False,4,20,False
3,1619,False,7,True,False,,0.9163391353172375,81847,2018-01-15,False,6,47,False
2,1350,False,8,True,False,,0.974370709382151,8180,2018-02-12,False,14,22,False
4,1279,False,5,True,False,,0.9219694788367405,105954,2017-11-29,False,15,52,False
2,1234,False,6,True,False,,0.9464806494837235,54879,2018-03-22,False,26,42,False
3,1036,False,3,True,False,,0.4619289340101523,10778,2018-02-06,False,16,40,False
2,3048,False,8,True,False,,0.9731845153998304,47728,2017-11-30,False,27,55,False
3,19494,False,8,True,False,,0.9791948122129154,123596,2018-03-19,False,32,52,False
2,3970,False,9,True,True,,0.9681772979116352,151694,2017-11-18,False,17,80,False
1,8480,False,6,True,False,,0.46672776759428986,21645,2017-11-11,False,9,75,False
4,778,False,6,True,False,,0.9898432601880878,11066,2018-01-25,False,12,27,False
3,72,False,8,True,False,,0.6212121212121212,153,2017-12-20,False,4,84,False
1,10809,False,6,True,True,,0.9432622660959442,495440,2017-12-05,False,34,40,False
0,4414,False,7,True,False,,0.9543779519385478,139543,2017-12-12,False,22,60,False
4,154,False,12,True,False,,0.9854058984493768,9540,2018-02-20,False,27,71,False
2,2258,False,7,True,False,,0.994866131969468,37320,2017-11-30,False,13,47,False
1,462,False,7,True,False,,0.9547325102880658,17266,2017-11-30,False,8,19,False
2,2048,False,7,True,True,,0.9550158394931362,450624,2017-12-23,False,36,54,False
2,4758,False,17,True,False,,0.9794234234234235,24684,2018-04-30,False,1,66,False
4,12243,False,29,True,True,,0.9864967360895244,52738,2018-05-10,False,32,45,False
4,301,False,1,True,False,,0.9857651245551602,63780,2017-11-14,False,8,85,False
2,3,False,8,True,False,,0.9767441860465116,470,2017-12-19,False,19,29,False
2,6583,False,6,True,False,,0.9888536986570425,88333,2018-01-11,False,26,68,False
2,637,False,9,False,False,,0.9683569979716025,41003,2017-12-29,False,1,38,False
2,1205,False,13,True,False,,0.9662461414575225,21968,2018-03-21,False,25,49,False
2,9101,False,3,True,True,,0.763949522510232,290573,2018-05-30,False,22,37,False
2,200,False,4,True,False,,0.959409594095941,29923,2018-02-23,False,39,76,False
2,142,False,9,True,False,,0.9717832957110609,3927,2017-12-18,False,24,70,False
2,474,False,17,True,False,,0.8607809847198642,10114,2018-04-30,False,1,60,False
4,1107,False,5,True,False,,0.9765822352700212,15162,2018-01-20,False,9,44,False
2,3395,False,7,True,False,,0.9825234733739977,50876,2017-12-06,False,21,74,False
4,196,False,7,True,False,,0.9925187032418953,781,2017-12-21,False,38,57,False
4,2593,False,5,True,False,,0.923009431892959,10866,2018-05-16,False,24,100,False
2,593,False,7,True,False,,0.9438815276695246,51228,2017-11-07,False,1,39,False
3,8577,False,8,True,True,,0.9905954368391764,124015,2017-11-16,False,16,53,False
4,7689,False,8,True,True,,0.9764121412848112,283300,2018-01-23,False,1,64,False
2,484,False,9,True,False,,0.9444345661450925,42516,2018-02-22,False,32,26,False
2,4419,False,14,True,False,,0.9002426041930695,30011,2018-03-12,False,28,64,False
2,10042,False,7,True,False,,0.9350016133079985,134476,2018-01-11,False,57,36,False
2,615,False,6,True,False,,0.4612597547380156,15051,2018-01-29,False,35,95,False
2,6,False,5,True,False,,0.9069767441860465,18219,2017-12-29,False,3,20,False
2,5547,False,12,True,False,False,0.8754000542446433,25496,2018-05-02,False,20,61,True
1,376,False,6,True,False,,0.9907690426702531,157925,2017-11-24,False,13,27,False
4,1980,False,3,True,True,,0.9790301842894753,749373,2018-04-03,False,20,91,False
4,2225,False,7,True,False,,0.9672713529856387,33357,2018-01-16,False,12,33,False
2,4280,False,12,True,False,,0.9807426085236823,14348,2018-02-20,False,33,51,False
3,1083,False,7,True,False,,0.9236060825488777,54340,2018-01-16,False,11,69,False
2,18386,False,26,True,True,,0.9602083867626131,388347,2018-04-18,False,1,51,False
4,1565,False,3,True,False,,0.9392981346822636,36275,2018-05-24,False,34,80,False
3,2497,False,1,True,False,,0.8543607112616427,425866,2017-12-11,False,34,63,False
2,17004,False,8,True,True,,0.9763348216196168,182795,2018-06-06,False,3,45,False
4,1041,False,7,True,False,,0.9241229798975168,3792,2017-11-30,False,16,47,False
2,76944,False,15,True,True,,0.961864590012837,1304333,2018-05-30,False,20,83,False
4,0,True,6,True,False,,0.9174887892376682,54299,2018-01-09,False,1,27,False
3,907,False,6,True,False,,0.9874595788311381,34326,2018-01-29,False,13,75,False
2,654,False,7,True,False,,0.8681626928471248,36669,2018-01-28,False,18,43,False
2,21,False,17,True,False,,0.8958333333333334,420,2018-01-03,False,14,61,False
3,521,False,2,True,False,,0.8250254323499492,70736,2018-02-09,False,6,53,False
3,10789,False,13,True,False,,0.9777005384038711,31643,2018-05-25,False,5,47,False
1,5932,False,16,True,False,,0.9856762781333142,67723,2018-04-16,False,5,34,False
2,62610,False,27,True,True,,0.9937655783610795,143965,2018-05-18,False,27,52,False
4,8,False,4,True,False,,0.9344262295081968,481,2017-12-14,False,10,77,False
2,197,False,1,True,False,,0.9447379114181227,148659,2018-01-24,False,28,60,False
3,4141,False,17,True,True,,0.9097881190692838,216017,2018-03-17,False,19,47,False
2,1551,False,8,True,False,,0.8255449636690887,31939,2018-02-12,False,18,37,False
2,965,False,2,True,False,,0.9842852612663402,490223,2018-05-14,False,29,48,False
3,73,False,8,True,False,,0.9590163934426229,5566,2018-02-06,False,1,35,False
1,14325,False,11,True,True,,0.9845129616192837,612647,2018-03-15,False,19,59,False
3,1284,False,4,True,False,,0.844113541181945,62003,2018-05-13,False,9,50,False
